Uid;Title project;Faculties involved;Award date
0;Deep Neural Networks for ICD-10 Classification of Diagnosis Registration in Cardiovascular Notes to allow data mining in electronic health records.;Medicine, Social Sciences;2018-11-01
1;Eye movement signatures of dysfunctions in visual attention during virtual reality simulations.;Medicine, Social Sciences;2018-11-01
2;Training a neural network for the automatic detection of fat- and muscle-volume in patient with ovarian and other cancers;Medicine, Image Sciences Institute/QIA;2018-11-01
3;How formal information infrastructures solicit discourse – a text mining approach.;Humanities, Social Sciences;2018-11-01
4;Machine learning techniques to predict worsening of diastolic dysfunction in patients from an outpatient clinic;Medicine, Social Sciences;2018-11-01
5;Data-mining Hate-Speech. Analysing speech, images and interactions on Gab.ai, the ’Twitter of the alt right’.;Humanities, Social Sciences;2018-11-01
6;Machine learning based quantification of intracranial aneurysms;Medicine, Image Sciences Institute;2019-05-01
7;Using active learning to reduce the costs of population-based neuroimaging studies ;Medicine (Psychiatry, Brain Division), Science (Information & Computing Sciences);2019-05-01
8;CONVOCALS: a CONVOlutional neural network to predict symptoms and major secondary CArdiovascuLar events based on high-resolution scanned histological Slides.;Medicine (Circulatory Health), Social Sciences (Methodology & Statistics);2019-05-01
9;A text mining approach to interest development;Social Sciences (Educational Sciences), Science (Information & Computing Sciences);2019-05-01
10;Applying machine learning techniques to the study of polarization ;Social Sciences (Sociology), Humanities (Media & Culture Studies);2019-05-01
11;Machine learning choice models: with application to bike sharing in Beijing, China;Geosciences (Human Geography & Planning), Social Sciences (Methodology & Statistics);2019-05-01
12;Identification of cells in a digital microscope environment: toward automated recognition of pollen grains;Medicine, Image Sciences Institute, Geosciences (Palaeoecology);2019-05-01
13;ELSIE - EvoLutionary Selection In Epigenetics;Science, Pharmacology, Social Sciences, Methodology and Statistics;2019-11-01
14;Call me if you can: Machine learning assisted acoustic monitoring of tropical forest wildlife;Science, Environmental Biology, Information and Computing Sciences;2019-11-01
15;SILICON: The search for a Systemic Immune profile responsible for the Local Inflammation in the keratoCONus eye;Medicine, Ophthalmology, Social Sciences, Methodology and Statistics;2019-11-01
16;DEEP-ENIGMA: a DEEP nEural Network for Image seGMentation to classify and quantify Atherosclerotic disease based on high-resolution scanned histological slides.;Medicine, Circulatory Health, Social Sciences, Methodology and Statistics;2019-11-01
17;Real-time holographic data visualization with augmented reality display for improving patient workflow during MR-HIFU therapy ;Medicine, Image Sciences Institute, TU Eindhoven, Electrical Engineering;2019-11-01
18;Machine learning models for predicting gait patterns in human-computer interaction;Social Sciences, Experimental Psychology, Science, Human-Centred Computing;2019-11-01
19;Can you see it in the eyes? Relating eye tracking features to brain damage in children with perinatal asphyxia;Medicine (Neonatology, Wilhelmina Children's Hospital UMCU), Social Sciences (Experimental Psychology);2020-06-01
20;Move it: Development of an Interdisciplinary Setup for Innovative Human Behavior Research;Science (Information and Computing Sciences), Social Sciences (Clinical Psychology, Methodology and Statistics);2020-06-01
21;Explainable AI for patient‐doctor decision making in metastatic breast cancer ;Medicine (Image Sciences Institute, UMCU), Julius Center (Epidemiology), Medical Oncology;2020-06-01
